Name,Team,Season,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Soft%,Hard%
Jeff McNeil,NYM,2023,0.33848657,0.76635514,0.77403846,0.93631436,0.18631179,0.20722433
Steven Kwan,CLE,2023,0.24790187,0.60355487,0.796875,0.95646607,0.13157895,0.18421053
Myles Straw,CLE,2023,0.27071291,0.6197479,0.82206406,0.91355932,0.17241379,0.18037135
Aaron Judge,NYY,2024,0.21256606,0.71912014,0.48895028,0.80705882,0.07179487,0.47692308
Kyle Schwarber,PHI,2024,0.24014337,0.62648557,0.52238806,0.80216802,0.15885417,0.44270833
Shohei Ohtani,LAD,2024,0.30466384,0.70513901,0.5944334,0.81959379,0.10647182,0.44258873
Gunnar Henderson,BAL,2024,0.26157547,0.68613139,0.62298851,0.85815603,0.13473684,0.43368421
Corey Seager,TEX,2024,0.31734317,0.82360406,0.58430233,0.89060092,0.08661417,0.43307087
Ketel Marte,ARI,2024,0.29258354,0.73311547,0.67409471,0.87964339,0.10810811,0.42997543
Juan Soto,NYY,2024,0.21299435,0.60084034,0.67374005,0.86433566,0.12581345,0.42950108
Oneil Cruz,PIT,2024,0.33473096,0.65578947,0.53235908,0.78170144,0.11813187,0.41483516
Vladimir Guerrero Jr.,TOR,2024,0.30628803,0.7103139,0.66666667,0.87752525,0.1221374,0.41221374
Yordan Alvarez,HOU,2024,0.33504776,0.6910299,0.68421053,0.90705128,0.12364425,0.40997831
Rafael Devers,BOS,2024,0.33261339,0.75659229,0.65151515,0.76005362,0.16145833,0.40885417
William Contreras,MIL,2024,0.29082915,0.74261993,0.57235421,0.83726708,0.1328976,0.40087146
Marcell Ozuna,ATL,2024,0.2962963,0.74862385,0.54924242,0.81372549,0.13863636,0.4
Taylor Ward,LAA,2024,0.23347107,0.68439407,0.56932153,0.84840764,0.09069767,0.4
Paul Goldschmidt,STL,2024,0.32308698,0.67199327,0.65587045,0.80600751,0.10981308,0.39953271
Bryce Harper,PHI,2024,0.36602564,0.80528053,0.58143608,0.88251366,0.12289157,0.39518072
Cal Raleigh,SEA,2024,0.36090727,0.76059113,0.58040665,0.81735751,0.16489362,0.39361702
Logan O'Hoppe,LAA,2024,0.37873754,0.7403599,0.53289474,0.80729167,0.12576687,0.38957055
Ryan McMahon,COL,2024,0.30359521,0.67076167,0.57017544,0.80708181,0.10621762,0.38860104
Christian Walker,ARI,2024,0.2829912,0.76631579,0.58031088,0.85714286,0.1440678,0.38700565
Brent Rooker,OAK,2024,0.34120917,0.74760383,0.46232179,0.83903134,0.13941019,0.38605898
Seiya Suzuki,CHC,2024,0.23565159,0.62743191,0.62750716,0.85736434,0.14044944,0.38483146
Jesús Sánchez,MIA,2024,0.39212469,0.74740933,0.57322176,0.83362218,0.14529915,0.38461538
Jake Burger,MIA,2024,0.41306058,0.69839308,0.57142857,0.84778761,0.15681234,0.37789203
Ian Happ,CHC,2024,0.27148438,0.70042194,0.60191847,0.81686747,0.15384615,0.37717122
Matt Chapman,SFG,2024,0.27718833,0.65776294,0.68660287,0.84898477,0.16706444,0.37470167
Jorge Soler,- - -,2024,0.29803647,0.66524064,0.53882353,0.85691318,0.15449438,0.37359551
Vinnie Pasquantino,KCR,2024,0.33811802,0.67425968,0.78066038,0.94256757,0.14578588,0.37357631
Manny Machado,SDP,2024,0.33456699,0.7519305,0.62610619,0.8703466,0.13319239,0.37209302
Elly De La Cruz,CIN,2024,0.29652227,0.62410072,0.49794239,0.8054755,0.0942928,0.36972705
Rhys Hoskins,MIL,2024,0.28060413,0.61522843,0.66572238,0.83168317,0.16993464,0.36928105
Colton Cowser,BAL,2024,0.27638573,0.66297787,0.5,0.82852807,0.10606061,0.36666667
Brenton Doyle,COL,2024,0.33719136,0.77030162,0.51029748,0.87048193,0.13715711,0.36658354
Francisco Lindor,NYM,2024,0.30506246,0.7147651,0.66163793,0.85446009,0.12348178,0.36639676
Julio Rodríguez,SEA,2024,0.40546075,0.76278564,0.58585859,0.82168331,0.14285714,0.36561743
Alec Bohm,PHI,2024,0.31031543,0.7278481,0.70054945,0.92318841,0.1371308,0.3649789
Eugenio Suárez,ARI,2024,0.30480167,0.68959276,0.50684932,0.85564304,0.14778325,0.36453202
Shea Langeliers,OAK,2024,0.34438776,0.71113831,0.58765432,0.83648881,0.17492711,0.36443149
Adolis García,TEX,2024,0.37091608,0.75950668,0.5388601,0.78755074,0.17114914,0.36430318
Teoscar Hernández,LAD,2024,0.32848645,0.76347032,0.51307847,0.78708134,0.13930348,0.36318408
Salvador Perez,KCR,2024,0.46411483,0.77565632,0.62297496,0.86461538,0.13704497,0.36188437
Ezequiel Tovar,COL,2024,0.48118812,0.82625864,0.52400549,0.83512545,0.13062099,0.36188437
Yandy Díaz,TBR,2024,0.25624082,0.66545123,0.77077364,0.9260274,0.15889831,0.36016949
Matt Olson,ATL,2024,0.33333333,0.73200993,0.70120898,0.80677966,0.14942529,0.35862069
Jackson Chourio,MIL,2024,0.34035383,0.68092105,0.5990099,0.86151369,0.15609756,0.35853659
Brandon Nimmo,NYM,2024,0.27562062,0.67744681,0.6073903,0.88442211,0.13221154,0.35576923
Jackson Merrill,SDP,2024,0.3832,0.80685358,0.70146138,0.87644788,0.12337662,0.35497835
Bobby Witt Jr.,KCR,2024,0.35448718,0.74783446,0.69981917,0.88416988,0.14684015,0.35315985
Anthony Santander,BAL,2024,0.37515006,0.6875,0.7648,0.87109905,0.18895966,0.35031847
José Ramírez,CLE,2024,0.34830769,0.70630631,0.78268551,0.92219388,0.16176471,0.34926471
Wyatt Langford,TEX,2024,0.26972201,0.6572973,0.68523677,0.86019737,0.18346253,0.34883721
Pete Alonso,NYM,2024,0.29447115,0.62903226,0.61836735,0.88034188,0.1571754,0.34851936
Bryan Reynolds,PIT,2024,0.34495641,0.75951904,0.57761733,0.84036939,0.13006397,0.34541578
Will Smith,LAD,2024,0.2993921,0.68691099,0.71319797,0.88109756,0.11375661,0.34391534
Randy Arozarena,- - -,2024,0.27299881,0.61727273,0.64551422,0.78497791,0.16666667,0.34114583
Andrew McCutchen,PIT,2024,0.2160596,0.67853403,0.55938697,0.80864198,0.17981073,0.34069401
Jazz Chisholm Jr.,- - -,2024,0.31589814,0.67754319,0.62309368,0.79886686,0.1407767,0.33980583
Jarren Duran,BOS,2024,0.31238447,0.70819672,0.60157791,0.88657407,0.1592233,0.33980583
Trea Turner,PHI,2024,0.3830313,0.76357057,0.56344086,0.8957346,0.13480392,0.33823529
Christopher Morel,- - -,2024,0.2965368,0.71917098,0.54987835,0.76368876,0.18635171,0.33595801
Lane Thomas,- - -,2024,0.26728499,0.66479821,0.65299685,0.87015177,0.20588235,0.33529412
Riley Greene,DET,2024,0.26353791,0.68266405,0.60547945,0.83213773,0.08659218,0.33519553
CJ Abrams,WSN,2024,0.38762725,0.71719227,0.67878788,0.83687943,0.17703349,0.33492823
Carlos Santana,MIN,2024,0.27017544,0.667001,0.67012987,0.85413534,0.19811321,0.33490566
Ryan Mountcastle,BAL,2024,0.40523466,0.7790404,0.65256125,0.85737439,0.13972603,0.33424658
Spencer Steer,CIN,2024,0.28655738,0.66697164,0.60183066,0.90260631,0.18223235,0.33257403
Andrew Vaughn,CHW,2024,0.36151603,0.68290155,0.65927419,0.90288316,0.1738149,0.33182844
Corbin Carroll,ARI,2024,0.2769135,0.61287224,0.71910112,0.88401254,0.20382166,0.33121019
Nick Castellanos,PHI,2024,0.40775988,0.82106339,0.53500898,0.85429639,0.12793177,0.33049041
JJ Bleday,OAK,2024,0.28407557,0.6983017,0.58907363,0.86981402,0.17410714,0.328125
Mookie Betts,LAD,2024,0.22930464,0.65435042,0.68592058,0.94899818,0.14105793,0.32745592
Bryan De La Cruz,- - -,2024,0.37050106,0.77151639,0.60952381,0.81142098,0.12649165,0.32696897
Zach Neto,LAA,2024,0.35022355,0.67793031,0.59361702,0.85046729,0.13759214,0.32678133
Marcus Semien,TEX,2024,0.30314708,0.78671656,0.64194915,0.90368609,0.16849817,0.32600733
Willy Adames,MIL,2024,0.31518258,0.73208191,0.57113821,0.83566434,0.16363636,0.325
Freddie Freeman,LAD,2024,0.3067649,0.76482021,0.75327511,0.86022872,0.12444444,0.32444444
Josh Bell,- - -,2024,0.31415929,0.75056689,0.62206573,0.85951662,0.152019,0.32304038
Jurickson Profar,SDP,2024,0.25997426,0.707173,0.72029703,0.90453461,0.15010571,0.32135307
Lourdes Gurriel Jr.,ARI,2024,0.35376968,0.72488584,0.68149883,0.8992126,0.17985612,0.32134293
Yainer Diaz,HOU,2024,0.45747126,0.79586877,0.65494137,0.8870229,0.11934156,0.31893004
Tyler Stephenson,CIN,2024,0.27369353,0.65318627,0.58899676,0.9043152,0.14327485,0.31871345
Luis García Jr.,WSN,2024,0.38537906,0.69806452,0.70725995,0.89463956,0.14939759,0.31807229
Heliot Ramos,SFG,2024,0.3302521,0.75395859,0.5394402,0.84975767,0.16569767,0.31686047
Josh Naylor,CLE,2024,0.35479256,0.73672316,0.69758065,0.86656442,0.16017316,0.31385281
Alex Verdugo,NYY,2024,0.28342674,0.62854529,0.73728814,0.93158661,0.14435146,0.31380753
Orlando Arcia,ATL,2024,0.31222057,0.73131313,0.59665871,0.86187845,0.19489559,0.31322506
Willi Castro,MIN,2024,0.35907859,0.73088093,0.53962264,0.86754967,0.15012107,0.31234867
Dansby Swanson,CHC,2024,0.28197227,0.73982971,0.57650273,0.80179028,0.15012723,0.31043257
Jesse Winker,- - -,2024,0.2287234,0.67486631,0.66666667,0.87638669,0.2006079,0.3100304
Jake Cronenworth,SDP,2024,0.26534653,0.66774454,0.71393035,0.91404358,0.1663067,0.30885529
Michael Busch,CHC,2024,0.27446809,0.70964361,0.55555556,0.85376662,0.14497041,0.30769231
Andrew Benintendi,CHW,2024,0.27937095,0.71115974,0.71192053,0.87076923,0.15364583,0.30729167
Brendan Donovan,STL,2024,0.26676385,0.64721724,0.73497268,0.93203883,0.16634051,0.3072407
George Springer,TOR,2024,0.28416149,0.75346535,0.6147541,0.84362681,0.1712963,0.30324074
Maikel Garcia,KCR,2024,0.24825986,0.65229616,0.73208723,0.9137931,0.12266112,0.3014553
Joey Ortiz,MIL,2024,0.26649958,0.55507559,0.73667712,0.92217899,0.1849711,0.30057803
Jake Meyers,HOU,2024,0.32803738,0.71084337,0.53276353,0.88323917,0.14529915,0.2991453
Alex Bregman,HOU,2024,0.26544118,0.69119071,0.8033241,0.92717087,0.18236473,0.29859719
Jonathan India,CIN,2024,0.21279461,0.59811482,0.67088608,0.8982808,0.17266187,0.29736211
Daulton Varsho,TOR,2024,0.29502573,0.71363116,0.64244186,0.82664526,0.22222222,0.2962963
Nathaniel Lowe,TEX,2024,0.27138643,0.639,0.66847826,0.89514867,0.18082192,0.29589041
Alec Burleson,STL,2024,0.3869637,0.78232044,0.74200426,0.88841808,0.13389121,0.29497908
Justin Turner,- - -,2024,0.28560548,0.67428004,0.768,0.89543446,0.14516129,0.29301075
Brendan Rodgers,COL,2024,0.32006774,0.7212932,0.56349206,0.87944359,0.13978495,0.29032258
Ty France,- - -,2024,0.32013479,0.78333333,0.60789474,0.88905775,0.14054054,0.28648649
Adley Rutschman,BAL,2024,0.3239813,0.61004566,0.77731959,0.89670659,0.15578947,0.28631579
Leody Taveras,TEX,2024,0.31656548,0.70877193,0.59452055,0.85643564,0.176,0.28533333
Jose Altuve,HOU,2024,0.39646134,0.69719828,0.70082645,0.88562597,0.1611002,0.2848723
Zack Gelof,OAK,2024,0.32838428,0.74505495,0.45478723,0.76253687,0.10410095,0.28391167
Bryson Stott,PHI,2024,0.32052267,0.59145129,0.79856115,0.89411765,0.17298578,0.27962085
Colt Keith,DET,2024,0.32693984,0.69791667,0.608,0.89552239,0.15686275,0.27941176
Matt Vierling,DET,2024,0.25558122,0.64940239,0.6746988,0.90184049,0.17164179,0.27860697
Cody Bellinger,CHC,2024,0.35119048,0.6890849,0.69975787,0.864,0.17361111,0.27314815
Nolan Arenado,STL,2024,0.33523132,0.64627151,0.73673036,0.91863905,0.18661258,0.27180527
Gleyber Torres,NYY,2024,0.25995025,0.71723001,0.69617225,0.84252874,0.14099783,0.26898048
Jeremy Peña,HOU,2024,0.39169139,0.74458874,0.58333333,0.91569767,0.186,0.266
Josh Smith,TEX,2024,0.30038911,0.66794626,0.65803109,0.87931034,0.16216216,0.26535627
Masyn Winn,STL,2024,0.32987552,0.64234234,0.7148847,0.91023843,0.19341564,0.26337449
Brice Turang,MIL,2024,0.31676558,0.64438503,0.80562061,0.92392808,0.15367965,0.25974026
Ceddanne Rafaela,BOS,2024,0.49548811,0.78705882,0.58443709,0.79671151,0.1959799,0.25376884
Steven Kwan,CLE,2024,0.22203673,0.5966908,0.83082707,0.97227036,0.14153132,0.25058005
Anthony Volpe,NYY,2024,0.32375979,0.65901899,0.66935484,0.86434574,0.15843621,0.24691358
Nolan Schanuel,LAA,2024,0.25473071,0.6395112,0.78857143,0.91242038,0.13849765,0.24647887
Isaac Paredes,- - -,2024,0.29638273,0.67427568,0.73622047,0.90625,0.21218962,0.24379233
Andrés Giménez,CLE,2024,0.40751658,0.74880153,0.66907776,0.87836108,0.18989899,0.24040404
Luis Arraez,- - -,2024,0.36818182,0.64748858,0.90740741,0.96614951,0.15220949,0.22913257
Jacob Young,WSN,2024,0.28571429,0.59668508,0.72,0.89444444,0.17287234,0.20478723
Nico Hoerner,CHC,2024,0.35155657,0.65295888,0.81209503,0.95084485,0.20038536,0.20423892
Sal Frelick,MIL,2024,0.29594478,0.56257046,0.80174927,0.93987976,0.24,0.1825
