,SO,dumb,SB,CS
265,0,1.0,0,0
266,7,1.0,1,0
267,4,1.0,1,1
268,4,1.0,0,0
269,4,1.0,0,0
270,6,1.0,2,3
271,5,1.0,0,0
272,4,1.0,0,0
273,4,1.0,0,0
274,5,1.0,0,0
275,3,1.0,0,0
276,6,1.0,2,2
277,5,1.0,0,1
278,4,1.0,0,3
279,7,1.0,1,0
280,5,1.0,0,0
281,10,1.0,0,2
282,4,1.0,0,0
283,4,1.0,0,2
284,3,1.0,0,0
285,1,1.0,0,0
286,2,1.0,0,0
287,5,1.0,0,0
288,5,1.0,0,0
289,2,1.0,2,0
290,5,1.0,1,0
291,9,1.0,0,1
292,7,1.0,1,0
293,3,1.0,1,0
294,4,1.0,1,1
295,10,1.0,0,0
296,5,1.0,0,0
297,3,1.0,1,1
298,4,1.0,0,2
299,8,1.0,2,1
300,8,1.0,0,0
301,5,1.0,1,1
302,2,1.0,0,0
303,8,1.0,0,0
304,4,1.0,0,0
305,4,1.0,2,1
306,1,1.0,1,1
307,2,1.0,0,1
308,3,1.0,1,0
309,3,1.0,1,2
310,4,1.0,0,0
311,5,1.0,1,0
312,6,1.0,0,1
313,2,1.0,1,1
314,10,1.0,0,0
315,5,1.0,1,0
316,12,1.0,1,0
317,10,1.0,1,0
318,2,1.0,0,1
319,5,1.0,0,0
320,6,1.0,1,1
321,4,1.0,0,0
322,2,1.0,0,1
323,2,1.0,2,0
324,4,1.0,0,0
325,5,1.0,0,0
326,2,1.0,0,0
327,9,1.0,0,0
328,7,1.0,0,1
329,3,1.0,2,0
330,10,1.0,1,1
331,12,1.0,1,0
332,4,1.0,0,1
333,4,1.0,2,0
334,4,1.0,1,0
335,3,1.0,0,1
336,6,1.0,0,1
337,6,1.0,2,0
338,4,1.0,2,0
339,7,1.0,2,0
340,9,1.0,0,1
341,4,1.0,0,1
342,7,1.0,0,0
343,2,1.0,1,1
344,5,1.0,0,1
345,4,1.0,0,1
346,7,1.0,2,0
347,1,1.0,1,1
348,10,1.0,0,0
349,5,1.0,1,1
350,3,1.0,0,0
351,5,1.0,4,0
352,2,1.0,0,1
353,4,1.0,1,0
354,4,1.0,1,0
355,4,1.0,3,0
356,5,1.0,0,1
357,4,1.0,0,0
358,3,1.0,1,0
359,9,1.0,0,0
360,4,1.0,5,0
361,3,1.0,0,0
362,7,1.0,1,0
363,3,1.0,2,0
364,2,1.0,2,0
365,8,1.0,1,1
366,6,1.0,0,1
367,3,1.0,0,0
368,1,1.0,0,0
369,2,1.0,0,0
370,5,1.0,0,1
371,2,1.0,0,0
372,7,1.0,0,0
373,6,1.0,0,0
374,10,1.0,0,1
375,3,1.0,0,0
376,10,1.0,1,0
377,3,1.0,1,0
378,7,1.0,1,0
379,0,1.0,1,0
380,2,1.0,1,1
381,6,1.0,2,1
382,6,1.0,1,0
383,10,1.0,2,0
384,3,1.0,1,0
385,1,1.0,3,0
386,3,1.0,2,1
387,5,1.0,1,0
388,5,1.0,2,0
389,4,1.0,1,0
390,6,1.0,0,0
391,1,1.0,0,0
392,13,1.0,0,0
393,5,1.0,1,0
394,4,1.0,0,1
395,2,1.0,2,1
396,7,1.0,0,2
397,4,1.0,0,1
398,5,1.0,1,0
399,3,1.0,2,2
400,2,1.0,0,1
401,5,1.0,0,0
402,6,1.0,0,0
403,4,1.0,1,0
404,3,1.0,2,0
405,3,1.0,0,0
406,4,1.0,0,1
407,3,1.0,0,0
408,4,1.0,0,0
409,3,1.0,0,0
410,1,1.0,0,0
411,4,1.0,0,0
412,6,1.0,0,0
413,4,1.0,0,0
414,5,1.0,0,2
415,3,1.0,0,0
416,8,1.0,0,2
417,2,1.0,0,0
418,6,1.0,2,0
419,3,1.0,0,0
420,8,1.0,2,0
421,8,1.0,1,1
422,4,1.0,0,0
423,5,1.0,0,1
424,5,1.0,0,0
425,7,1.0,0,0
426,3,1.0,0,0
427,6,1.0,0,0
428,3,1.0,0,0
429,6,1.0,1,2
430,3,1.0,0,1
431,5,1.0,0,0
432,5,1.0,0,0
433,2,1.0,1,2
434,4,1.0,0,0
435,3,1.0,3,0
436,7,1.0,1,0
437,7,1.0,2,0
438,4,1.0,0,0
439,6,1.0,0,0
440,9,1.0,3,0
441,5,1.0,0,2
442,6,1.0,0,0
443,5,1.0,5,0
444,4,1.0,2,0
445,3,1.0,1,1
446,8,1.0,0,1
447,5,1.0,2,1
448,8,1.0,2,0
449,14,1.0,1,1
450,6,1.0,0,0
451,5,1.0,2,0
452,8,1.0,1,0
453,2,1.0,1,1
454,3,1.0,0,0
455,3,1.0,3,0
456,5,1.0,2,0
457,5,1.0,0,1
458,5,1.0,1,0
459,3,1.0,2,0
460,3,1.0,0,0
461,4,1.0,0,0
462,7,1.0,0,0
463,4,1.0,1,0
464,3,1.0,1,1
465,2,1.0,1,0
466,8,1.0,1,1
467,4,1.0,0,0
468,10,1.0,2,0
469,4,1.0,1,2
470,1,1.0,2,0
471,1,1.0,1,0
472,3,1.0,0,1
473,4,1.0,2,1
474,7,1.0,2,0
475,3,1.0,1,0
476,4,1.0,0,1
477,2,1.0,2,0
478,3,1.0,0,0
479,5,1.0,2,0
480,13,1.0,1,2
481,10,1.0,0,1
482,7,1.0,1,1
483,4,1.0,0,1
484,3,1.0,0,0
485,2,1.0,0,0
486,3,1.0,0,0
487,3,1.0,0,2
488,3,1.0,0,0
489,2,1.0,1,1
490,6,1.0,1,0
491,4,1.0,0,0
492,2,1.0,1,1
493,2,1.0,1,0
494,4,1.0,2,0
495,3,1.0,0,0
496,6,1.0,0,0
497,0,1.0,1,0
498,2,1.0,2,0
499,2,1.0,0,0
500,8,1.0,0,0
501,5,1.0,1,0
502,2,1.0,0,0
503,4,1.0,0,0
504,7,1.0,2,0
505,5,1.0,1,1
506,5,1.0,3,1
507,6,1.0,1,1
508,1,1.0,2,0
509,7,1.0,0,0
510,4,1.0,0,0
511,2,1.0,0,0
512,7,1.0,0,0
513,1,1.0,3,0
514,7,1.0,0,1
515,4,1.0,4,0
516,5,1.0,3,0
517,1,1.0,1,0
518,9,1.0,2,0
519,8,1.0,0,0
520,7,1.0,3,0
521,3,1.0,1,1
522,8,1.0,1,1
523,3,1.0,0,1
524,3,1.0,0,0
525,6,1.0,0,0
526,3,1.0,4,0
527,6,1.0,0,0
528,6,1.0,1,1
529,10,1.0,1,0
530,6,1.0,0,0
531,0,1.0,0,0
532,8,1.0,0,0
533,2,1.0,0,0
534,10,1.0,1,2
535,8,1.0,0,2
536,6,1.0,0,1
537,3,1.0,0,0
538,3,1.0,0,0
539,6,1.0,1,0
540,10,1.0,1,2
541,6,1.0,2,0
542,5,1.0,1,0
543,3,1.0,4,0
544,8,1.0,4,0
545,0,1.0,2,1
546,4,1.0,1,1
547,1,1.0,0,1
548,7,1.0,1,2
549,7,1.0,3,0
550,9,1.0,1,1
551,3,1.0,0,0
552,9,1.0,0,0
553,6,1.0,0,0
554,5,1.0,0,1
555,1,1.0,0,0
556,7,1.0,0,1
557,7,1.0,0,1
558,4,1.0,0,0
559,4,1.0,1,0
560,7,1.0,1,0
561,5,1.0,0,0
562,4,1.0,2,1
563,5,1.0,0,0
564,4,1.0,1,2
565,10,1.0,0,2
566,9,1.0,2,1
567,7,1.0,1,0
568,4,1.0,0,0
569,7,1.0,1,1
570,9,1.0,0,0
571,6,1.0,2,0
572,5,1.0,0,0
573,7,1.0,2,0
574,2,1.0,0,2
575,2,1.0,0,0
576,7,1.0,0,0
577,2,1.0,0,1
578,5,1.0,0,0
579,6,1.0,2,0
580,3,1.0,0,1
581,3,1.0,0,0
582,6,1.0,0,0
583,3,1.0,1,1
584,4,1.0,0,0
585,8,1.0,2,1
586,12,1.0,2,0
587,2,1.0,0,1
588,5,1.0,0,0
589,6,1.0,2,0
590,6,1.0,4,0
591,4,1.0,0,0
592,11,1.0,0,0
593,7,1.0,1,0
594,4,1.0,0,1
595,10,1.0,1,0
596,2,1.0,1,0
597,8,1.0,1,2
598,8,1.0,0,0
599,9,1.0,2,0
600,7,1.0,1,1
601,6,1.0,0,0
602,5,1.0,0,0
603,5,1.0,0,0
604,6,1.0,1,0
605,6,1.0,1,0
606,13,1.0,0,2
607,7,1.0,2,1
608,7,1.0,3,0
609,3,1.0,0,2
610,6,1.0,1,0
611,9,1.0,1,1
612,4,1.0,1,2
613,4,1.0,0,0
614,3,1.0,0,0
615,3,1.0,1,0
616,8,1.0,0,0
617,10,1.0,0,3
618,7,1.0,0,0
619,3,1.0,0,1
620,5,1.0,0,0
621,6,1.0,2,0
622,8,1.0,0,0
623,4,1.0,1,1
624,2,1.0,3,1
625,4,1.0,2,0
626,3,1.0,0,0
627,8,1.0,0,1
628,5,1.0,0,1
629,6,1.0,0,0
630,5,1.0,0,2
631,6,1.0,1,0
632,9,1.0,2,0
633,2,1.0,0,1
634,8,1.0,0,1
635,1,1.0,0,0
636,10,1.0,1,0
637,4,1.0,1,0
638,3,1.0,1,2
639,4,1.0,0,0
640,5,1.0,0,1
641,2,1.0,0,0
642,2,1.0,1,0
643,8,1.0,0,0
644,2,1.0,0,1
645,6,1.0,1,0
646,1,1.0,1,0
647,3,1.0,0,0
648,3,1.0,5,1
649,4,1.0,0,0
650,1,1.0,0,0
651,3,1.0,2,1
652,5,1.0,0,1
653,4,1.0,0,0
654,7,1.0,1,0
655,6,1.0,0,0
656,3,1.0,0,0
657,1,1.0,1,1
658,5,1.0,0,0
659,4,1.0,0,0
660,6,1.0,0,0
661,8,1.0,2,1
662,6,1.0,0,1
663,5,1.0,1,0
664,4,1.0,0,0
665,5,1.0,1,0
666,7,1.0,0,1
667,6,1.0,0,1
668,10,1.0,1,1
669,10,1.0,1,1
670,1,1.0,0,0
671,3,1.0,0,0
672,4,1.0,0,0
673,4,1.0,0,0
674,8,1.0,0,1
675,8,1.0,0,1
676,2,1.0,1,0
677,7,1.0,2,2
678,7,1.0,0,1
679,2,1.0,0,1
680,11,1.0,0,0
681,0,1.0,1,0
682,6,1.0,1,0
683,4,1.0,0,0
684,7,1.0,2,1
685,3,1.0,0,1
686,6,1.0,3,0
687,3,1.0,1,0
688,5,1.0,0,1
689,6,1.0,2,1
690,6,1.0,1,0
691,6,1.0,2,0
692,10,1.0,0,0
693,7,1.0,2,0
694,8,1.0,5,1
695,6,1.0,0,1
696,1,1.0,0,3
697,5,1.0,2,0
698,4,1.0,0,1
699,5,1.0,1,0
700,7,1.0,0,0
701,6,1.0,1,0
702,6,1.0,0,0
703,3,1.0,0,1
704,7,1.0,2,0
705,5,1.0,0,0
706,10,1.0,1,1
707,5,1.0,0,0
708,8,1.0,2,0
709,6,1.0,3,0
710,6,1.0,1,0
711,6,1.0,0,1
712,2,1.0,1,0
713,3,1.0,1,0
714,3,1.0,2,1
715,7,1.0,3,0
716,8,1.0,2,0
717,6,1.0,0,0
718,8,1.0,0,1
719,7,1.0,2,1
720,1,1.0,1,0
721,6,1.0,1,2
722,6,1.0,0,1
723,5,1.0,1,2
724,5,1.0,1,1
725,3,1.0,1,1
726,6,1.0,2,1
727,2,1.0,0,0
728,5,1.0,1,1
729,6,1.0,2,2
730,6,1.0,1,0
731,8,1.0,0,1
732,5,1.0,1,0
733,8,1.0,1,1
734,5,1.0,1,0
735,2,1.0,0,0
736,7,1.0,2,0
737,7,1.0,1,0
738,3,1.0,1,0
739,4,1.0,0,0
740,0,1.0,0,1
741,5,1.0,1,0
742,4,1.0,0,1
743,9,1.0,0,1
744,6,1.0,2,0
745,3,1.0,0,0
746,6,1.0,1,1
747,8,1.0,1,0
748,8,1.0,1,0
749,8,1.0,0,2
750,5,1.0,1,0
751,8,1.0,2,1
752,5,1.0,0,0
753,4,1.0,1,0
754,4,1.0,0,1
755,5,1.0,2,0
756,6,1.0,0,0
757,2,1.0,3,0
758,4,1.0,1,0
759,4,1.0,1,0
760,7,1.0,1,0
761,9,1.0,1,0
762,7,1.0,2,1
763,6,1.0,0,0
764,7,1.0,1,2
765,5,1.0,0,1
766,6,1.0,1,1
767,4,1.0,0,0
768,9,1.0,0,0
769,8,1.0,0,0
770,10,1.0,1,2
771,4,1.0,1,0
772,8,1.0,1,0
773,8,1.0,3,0
774,5,1.0,0,0
775,5,1.0,1,0
776,4,1.0,0,0
777,8,1.0,3,1
778,1,1.0,0,0
779,3,1.0,0,0
780,6,1.0,0,1
781,9,1.0,0,0
782,5,1.0,0,0
783,7,1.0,1,0
784,1,1.0,0,0
785,5,1.0,4,0
786,4,1.0,0,0
787,3,1.0,0,2
788,6,1.0,1,2
789,7,1.0,1,1
790,4,1.0,0,1
791,8,1.0,0,1
792,7,1.0,0,1
793,5,1.0,1,0
794,10,1.0,2,0
795,3,1.0,0,0
796,9,1.0,1,1
797,11,1.0,0,1
798,5,1.0,2,0
799,3,1.0,2,1
800,4,1.0,1,0
801,6,1.0,0,0
802,10,1.0,0,1
803,5,1.0,0,0
804,3,1.0,0,0
805,6,1.0,0,0
806,5,1.0,2,0
807,2,1.0,1,0
808,6,1.0,0,0
809,2,1.0,2,0
810,3,1.0,0,0
811,4,1.0,0,3
812,1,1.0,0,1
813,8,1.0,0,0
814,4,1.0,0,0
815,6,1.0,0,0
816,7,1.0,1,0
817,10,1.0,1,0
818,12,1.0,0,1
819,6,1.0,1,0
820,3,1.0,0,0
821,7,1.0,1,1
822,6,1.0,1,0
823,4,1.0,0,1
824,6,1.0,1,2
825,5,1.0,1,0
826,4,1.0,0,2
827,5,1.0,0,1
828,4,1.0,0,0
829,5,1.0,0,1
830,7,1.0,0,0
831,5,1.0,1,0
832,2,1.0,1,0
833,0,1.0,0,0
834,8,1.0,0,0
835,4,1.0,1,0
836,3,1.0,0,0
837,3,1.0,0,0
838,3,1.0,1,1
839,4,1.0,0,0
840,5,1.0,0,0
841,5,1.0,1,0
842,6,1.0,0,2
843,9,1.0,1,1
844,6,1.0,0,0
845,2,1.0,0,0
846,5,1.0,4,0
847,2,1.0,2,1
848,6,1.0,2,0
849,6,1.0,0,0
850,9,1.0,1,0
851,4,1.0,0,1
852,3,1.0,0,0
853,3,1.0,0,0
